  LastName  |                                 Boardgame                                  | NumDups 
------------+----------------------------------------------------------------------------+---------
 Armstrong  | 7 Wonders Duel                                                             |       5
 Armstrong  | Age of Industry                                                            |       2
 Armstrong  | Airlines Europe                                                            |       1
 Armstrong  | Antarctica                                                                 |       1
 Armstrong  | AquaSphere                                                                 |       2
 Armstrong  | Ave Roma                                                                   |       1
 Armstrong  | BANG! Dodge City                                                           |       1
 Armstrong  | Barcelona: The Rose of Fire                                                |       1
 Armstrong  | Bärenpark                                                                  |       3
 Armstrong  | Brass Lancashire                                                           |       3
 Armstrong  | Brides & Bribes                                                            |       1
 Armstrong  | Bring Out Yer Dead                                                         |       2
 Armstrong  | Bruxelles 1893                                                             |       1
 Armstrong  | Cacao                                                                      |       1
 Armstrong  | Carcassonne: Amazonas                                                      |       1
 Armstrong  | Castles of Mad King Ludwig                                                 |       3
 Armstrong  | Caylus                                                                     |       3
 Armstrong  | Century: Spice Road                                                        |       2
 Armstrong  | Citadels                                                                   |       3
 Armstrong  | CO₂                                                                        |       1
 Armstrong  | Coal Baron                                                                 |       2
 Armstrong  | Codenames                                                                  |       3
 Armstrong  | Codenames Pictures                                                         |       1
 Armstrong  | Dragon Brew                                                                |       2
 Armstrong  | Dungeon Petz                                                               |       3
 Armstrong  | Edo                                                                        |       2
 Armstrong  | El Gaucho                                                                  |       1
 Armstrong  | Expo 1906                                                                  |       1
 Armstrong  | Fields of Green                                                            |       1
 Armstrong  | First Class                                                                |       1
 Armstrong  | Forged in Steel                                                            |       1
 Armstrong  | Grand Austria Hotel                                                        |       2
 Armstrong  | Great Western Trail                                                        |       1
 Armstrong  | Guilds of London                                                           |       1
 Armstrong  | Haleakala                                                                  |       1
 Armstrong  | Haspelknecht                                                               |       3
 Armstrong  | Hawaii                                                                     |       1
 Armstrong  | Hey, That's My Fish!                                                       |       2
 Armstrong  | Homesteaders                                                               |       1
 Armstrong  | Honshu                                                                     |       1
 Armstrong  | Ice Cool                                                                   |       2
 Armstrong  | Island Siege                                                               |       1
 Armstrong  | Johari                                                                     |       1
 Armstrong  | Jórvík                                                                     |       1
 Armstrong  | Karuba                                                                     |       1
 Armstrong  | Kingdomino                                                                 |       3
 Armstrong  | La Granja                                                                  |       1
 Armstrong  | La Granja: No Siesta                                                       |       1
 Armstrong  | Lancaster                                                                  |       1
 Armstrong  | Last Will                                                                  |       2
 Armstrong  | Lewis & Clark                                                              |       3
 Armstrong  | Lignum (second edition)                                                    |       1
 Armstrong  | Mombasa                                                                    |       2
 Armstrong  | Montana                                                                    |       1
 Armstrong  | Murano                                                                     |       1
 Armstrong  | Myrmes                                                                     |       1
 Armstrong  | My Village                                                                 |       1
 Armstrong  | Nations: The Dice Game                                                     |       2
 Armstrong  | Navegador                                                                  |       1
 Armstrong  | New Bedford                                                                |       1
 Armstrong  | New Bedford: Rising Tide                                                   |       1
 Armstrong  | Notre Dame                                                                 |       1
 Armstrong  | Pandemic Iberia                                                            |       2
 Armstrong  | Pandemic: The Cure                                                         |       4
 Armstrong  | Paperback                                                                  |       3
 Armstrong  | Patchwork                                                                  |       4
 Armstrong  | Peloponnes                                                                 |       1
 Armstrong  | Power Grid Card Game                                                       |       2
 Armstrong  | Prime Time                                                                 |       1
 Armstrong  | Railroad Revolution                                                        |       1
 Armstrong  | Rallyman                                                                   |       2
 Armstrong  | Rococo                                                                     |       1
 Armstrong  | Roll for it!                                                               |       2
 Armstrong  | Russian Railroads                                                          |       2
 Armstrong  | Sagrada                                                                    |       5
 Armstrong  | Sanssouci                                                                  |       1
 Armstrong  | Ships                                                                      |       1
 Armstrong  | Small World                                                                |       2
 Armstrong  | Snow Tails                                                                 |       1
 Armstrong  | Spirits of the Rice Paddy                                                  |       1
 Armstrong  | Stone Age                                                                  |       3
 Armstrong  | Suburbia                                                                   |       2
 Armstrong  | Survive Escape From Atlantis                                               |       1
 Armstrong  | Terraforming Mars                                                          |       4
 Armstrong  | The Castles of Burgundy                                                    |       3
 Armstrong  | The Castles of Burgundy: The Card Game                                     |       2
 Armstrong  | The Castles of Burgundy: The Dice Game                                     |       1
 Armstrong  | The Climbers                                                               |       1
 Armstrong  | The Colonists                                                              |       2
 Armstrong  | The Voyages of Marco Polo                                                  |       1
 Armstrong  | Through the Ages: A Story of Civilization                                  |       2
 Armstrong  | Ticket to Ride Europe                                                      |       3
 Armstrong  | Tokaido                                                                    |       3
 Armstrong  | Treasure Mountain                                                          |       1
 Armstrong  | Trickerion: Legends of Illusion                                            |       2
 Armstrong  | Troyes                                                                     |       2
 Armstrong  | Vanuatu (second edition)                                                   |       1
 Armstrong  | Village                                                                    |       1
 Armstrong  | VivaJava: The Coffee Game: The Dice Game                                   |       2
 Armstrong  | Yokohama                                                                   |       2
 Armstrong  | Zombie Dice                                                                |       2
 Bacon      | 1775: Rebellion                                                            |       1
 Bacon      | 1830: Railways & Robber Barons                                             |       1
 Bacon      | 1844/1854                                                                  |       1
 Bacon      | 1846: The Race for the Midwest                                             |       2
 Bacon      | 18Ireland                                                                  |       1
 Bacon      | A Game of Thrones: The Board Game (Second Edition)                         |       1
 Bacon      | Age of Steam                                                               |       1
 Bacon      | Agricola                                                                   |       3
 Bacon      | Akrotiri                                                                   |       1
 Bacon      | BattleLore (Second Edition)                                                |       1
 Bacon      | Battlestar Galactica: The Board Game                                       |       1
 Bacon      | Caylus                                                                     |       3
 Bacon      | Chinatown                                                                  |       1
 Bacon      | Citadels                                                                   |       3
 Bacon      | Codenames                                                                  |       3
 Bacon      | Concordia                                                                  |       2
 Bacon      | Coup                                                                       |       2
 Bacon      | Courtier                                                                   |       1
 Bacon      | Dixit: Odyssey                                                             |       1
 Bacon      | Dominant Species                                                           |       1
 Bacon      | Eminent Domain                                                             |       1
 Bacon      | Endeavor                                                                   |       1
 Bacon      | Escape: The Curse of the Temple                                            |       3
 Bacon      | Ethnos                                                                     |       1
 Bacon      | Eurorails                                                                  |       3
 Bacon      | Exodus: Proxima Centauri                                                   |       1
 Bacon      | For-Ex                                                                     |       1
 Bacon      | Fresco                                                                     |       1
 Bacon      | Glen More                                                                  |       1
 Bacon      | Global Mogul                                                               |       1
 Bacon      | Haggis                                                                     |       2
 Bacon      | Hansa Teutonica                                                            |       1
 Bacon      | Haspelknecht                                                               |       3
 Bacon      | Hey, That's My Fish!                                                       |       2
 Bacon      | Hive                                                                       |       2
 Bacon      | Imperial 2030                                                              |       1
 Bacon      | Iron Dragon                                                                |       3
 Bacon      | Kanban: Automotive Revolution                                              |       2
 Bacon      | Kemet                                                                      |       1
 Bacon      | King Chocolate                                                             |       1
 Bacon      | Kingdom Builder                                                            |       3
 Bacon      | King of New York                                                           |       2
 Bacon      | Love Letter Premium Edition                                                |       1
 Bacon      | Madeira                                                                    |       1
 Bacon      | Merchants & Marauders                                                      |       1
 Bacon      | Mombasa                                                                    |       2
 Bacon      | Nyet!                                                                      |       2
 Bacon      | Ora Et Labora                                                              |       3
 Bacon      | Pax Renaissance                                                            |       1
 Bacon      | Planet Steam                                                               |       1
 Bacon      | Poseidon                                                                   |       1
 Bacon      | Puerto Rico                                                                |       3
 Bacon      | Qwirkle                                                                    |       2
 Bacon      | Roll for the Galaxy                                                        |       3
 Bacon      | Russian Railroads                                                          |       2
 Bacon      | Sagrada                                                                    |       5
 Bacon      | Saint Petersburg (second edition)                                          |       1
 Bacon      | Splendor                                                                   |       5
 Bacon      | Steam                                                                      |       1
 Bacon      | Stronghold                                                                 |       1
 Bacon      | Tammany Hall                                                               |       1
 Bacon      | Terror in Meeple City                                                      |       2
 Bacon      | The Castles of Burgundy                                                    |       3
 Bacon      | The Duke                                                                   |       2
 Bacon      | The Manhattan Project                                                      |       1
 Bacon      | The Networks                                                               |       1
 Bacon      | The Resistance                                                             |       2
 Bacon      | The Walled City: Londonderry & Borderlands                                 |       1
 Bacon      | Three Kingdoms Redux                                                       |       1
 Bacon      | Ticket to Ride                                                             |       4
 Bacon      | Tigris & Euphrates                                                         |       1
 Bacon      | Troyes                                                                     |       2
 Bacon      | Tzolk'in: The Mayan Calendar                                               |       2
 Bacon      | Urban Sprawl                                                               |       1
 Bacon      | Zooloretto                                                                 |       1
 Davis      | Fallout                                                                    |       1
 Davis      | Mechs Vs. Minions                                                          |       1
 Goodmanson | 10 Days in Africa                                                          |       1
 Goodmanson | 10 Days in Asia                                                            |       1
 Goodmanson | 10 Days in Europe                                                          |       1
 Goodmanson | 10 Days in the Americas                                                    |       1
 Goodmanson | 10 Days in the USA                                                         |       1
 Goodmanson | 13 Minutes: The Cuban Missile Crisis                                       |       2
 Goodmanson | 18 Wheeler                                                                 |       1
 Goodmanson | 7 Wonders Duel                                                             |       5
 Goodmanson | Above and Below                                                            |       2
 Goodmanson | A Fistful of Penguins                                                      |       1
 Goodmanson | Alhambra: Big Box                                                          |       1
 Goodmanson | Alhambra: The Dice Game                                                    |       1
 Goodmanson | Alien Frontiers                                                            |       3
 Goodmanson | AquaSphere                                                                 |       2
 Goodmanson | Arboretum                                                                  |       1
 Goodmanson | Archaeology: The Card Game                                                 |       2
 Goodmanson | Archaeology: The Card Game                                                 |       2
 Goodmanson | Area 1851                                                                  |       1
 Goodmanson | Ascending Empires                                                          |       1
 Goodmanson | Australian Rails                                                           |       1
 Goodmanson | Avenue                                                                     |       2
 Goodmanson | Azul                                                                       |       3
 Goodmanson | Bananagrams                                                                |       1
 Goodmanson | BANG!                                                                      |       2
 Goodmanson | BANG!                                                                      |       2
 Goodmanson | Bang! Wild West Show                                                       |       1
 Goodmanson | Bärenpark                                                                  |       3
 Goodmanson | Baseball Highlights: 2045                                                  |       1
 Goodmanson | Battle Line                                                                |       1
 Goodmanson | Battleship                                                                 |       2
 Goodmanson | Battling Bones                                                             |       1
 Goodmanson | Biblios                                                                    |       2
 Goodmanson | Biblios                                                                    |       2
 Goodmanson | Big Boggle                                                                 |       1
 Goodmanson | Blue Moon Legends                                                          |       1
 Goodmanson | Blueprints                                                                 |       1
 Goodmanson | Bohnanza                                                                   |       1
 Goodmanson | Bohnanza: The Duel                                                         |       1
 Goodmanson | bOOLeO                                                                     |       1
 Goodmanson | Boss Monster                                                               |       3
 Goodmanson | Bountytown                                                                 |       1
 Goodmanson | Brainstormer                                                               |       1
 Goodmanson | Bridge Troll                                                               |       1
 Goodmanson | Buccaneer Bones                                                            |       1
 Goodmanson | Bullfrogs                                                                  |       2
 Goodmanson | Bunny Bunny Moose Moose                                                    |       1
 Goodmanson | Carcassonne The Castle                                                     |       2
 Goodmanson | Carcassonne: The Dice Game                                                 |       1
 Goodmanson | Cardline: Globetrotter                                                     |       2
 Goodmanson | Cartagena                                                                  |       1
 Goodmanson | Castles of Mad King Ludwig                                                 |       3
 Goodmanson | Catacombs (third edition)                                                  |       1
 Goodmanson | Century: Spice Road                                                        |       2
 Goodmanson | Chemistry Fluxx                                                            |       1
 Goodmanson | Chess                                                                      |       1
 Goodmanson | Chickyboom                                                                 |       1
 Goodmanson | China Rails                                                                |       2
 Goodmanson | Chrononauts                                                                |       2
 Goodmanson | Cleopatra and the Society of Architects                                    |       1
 Goodmanson | CN Fluxx                                                                   |       1
 Goodmanson | Codenames                                                                  |       3
 Goodmanson | Codenames Duet                                                             |       2
 Goodmanson | Cold War: CIA vs KGB                                                       |       1
 Goodmanson | Colt Express                                                               |       1
 Goodmanson | Compounded                                                                 |       3
 Goodmanson | Continental Express                                                        |       1
 Goodmanson | Cottage Garden                                                             |       1
 Goodmanson | Court of the Medici                                                        |       1
 Goodmanson | Crappy Birthday                                                            |       1
 Goodmanson | Cribbage                                                                   |       1
 Goodmanson | Cube Quest                                                                 |       1
 Goodmanson | Decrypto                                                                   |       1
 Goodmanson | Desperados of Dice Town                                                    |       1
 Goodmanson | Diamonds                                                                   |       1
 Goodmanson | Dice City                                                                  |       2
 Goodmanson | Dicey Peaks                                                                |       1
 Goodmanson | Diner                                                                      |       1
 Goodmanson | Dixit Jinx                                                                 |       2
 Goodmanson | Dragon Lairds                                                              |       1
 Goodmanson | Dragon Slayer                                                              |       1
 Goodmanson | Dungeon Lords                                                              |       1
 Goodmanson | Dungeon Lords: Festival Season                                             |       1
 Goodmanson | Dungeon Petz                                                               |       3
 Goodmanson | Eco Fluxx                                                                  |       1
 Goodmanson | Einstein: His Amazing Life and Incomparable Science                        |       1
 Goodmanson | Empire Builder                                                             |       1
 Goodmanson | Escape: The Curse of the Temple                                            |       3
 Goodmanson | Eurorails                                                                  |       3
 Goodmanson | Faces                                                                      |       1
 Goodmanson | Fairy Tale                                                                 |       1
 Goodmanson | Farmageddon                                                                |       1
 Goodmanson | Fastrack                                                                   |       1
 Goodmanson | Felicity: The Cat in the Sack                                              |       2
 Goodmanson | Finca                                                                      |       1
 Goodmanson | Firefly Fluxx                                                              |       1
 Goodmanson | Firenze                                                                    |       1
 Goodmanson | Flamme Rouge                                                               |       1
 Goodmanson | Flick 'em Up                                                               |       1
